sample_ID,species,abbrev,SRR,country,lon,lat,category,perc_proper_reads,depth,n.sites_filtered_individual,n.sites_filtered_species,n.sites_pruned_species
MV087,Amphiprion_clarkii,CLK,SRR29150659,MDV,72.87168536,4.4389236,Generalist,96.0338,10.8651,19726774,19759807,2192819
MV088,Amphiprion_clarkii,CLK,SRR29150658,MDV,72.87168536,4.4389236,Generalist,96.56,11.5092,19727490,19759807,2192819
MV186,Amphiprion_clarkii,CLK,SRR29150657,MDV,72.87168536,4.4389236,Generalist,95.3928,10.5093,19729115,19759807,2192819
MV187,Amphiprion_clarkii,CLK,SRR29150656,MDV,72.87168536,4.4389236,Generalist,96.3234,12.7719,19730670,19759807,2192819
MV212,Amphiprion_clarkii,CLK,SRR29150655,MDV,72.87168536,4.4389236,Generalist,95.7796,7.82726,19708395,19759807,2192819
MV031,Amphiprion_clarkii,CLK,SRR29150654,MDV,73.57600321,4.35429895,Generalist,96.3869,9.22743,19719745,19759807,2192819
MV032,Amphiprion_clarkii,CLK,SRR29150653,MDV,73.57600321,4.35429895,Generalist,96.6748,10.2972,19728712,19759807,2192819
MV033,Amphiprion_clarkii,CLK,SRR29150652,MDV,73.57600321,4.35429895,Generalist,96.2785,11.5549,19730706,19759807,2192819
MV035,Amphiprion_clarkii,CLK,SRR29150651,MDV,73.57600321,4.35429895,Generalist,96.2334,8.73815,19713581,19759807,2192819
MV601,Amphiprion_clarkii,CLK,SRR29150650,MDV,73.57600321,4.35429895,Generalist,96.5082,8.95086,19721202,19759807,2192819
CLK_150,Amphiprion_clarkii,CLK,pending upload,THA,99.0943842,7.5310204,Generalist,96.6995,20.6311,19747348,19759807,2192819
CLK_158,Amphiprion_clarkii,CLK,pending upload,THA,99.0943842,7.5310204,Generalist,96.5249,24.8031,19739971,19759807,2192819
CLK_161,Amphiprion_clarkii,CLK,pending upload,THA,99.0943842,7.5310204,Generalist,96.7421,19.8511,19743161,19759807,2192819
CLK_166,Amphiprion_clarkii,CLK,pending upload,THA,99.0943842,7.5310204,Generalist,96.6539,22.5681,19746185,19759807,2192819
CLK_169,Amphiprion_clarkii,CLK,pending upload,THA,99.0943842,7.5310204,Generalist,96.9487,16.6089,19738153,19759807,2192819
3378,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,95.3114,20.9499,19754740,19759807,2192819
3379,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,93.2189,15.9285,19758049,19759807,2192819
3380,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,93.8908,18.6419,19754261,19759807,2192819
3381,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,93.9437,13.8156,19755470,19759807,2192819
3383,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,94.8301,17.8797,19755480,19759807,2192819
3384,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,95.2804,12.6809,19752814,19759807,2192819
3386,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,92.4044,14.3244,19753340,19759807,2192819
3387,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,94.1909,12.426,19751152,19759807,2192819
3475,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,91.3585,14.1913,19753939,19759807,2192819
3502,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,94.933,21.7663,19753694,19759807,2192819
3503,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,89.7796,18.7111,19753723,19759807,2192819
3504,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,89.9678,23.8131,19753394,19759807,2192819
3571,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,85.3496,12.5945,19753175,19759807,2192819
3572,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,93.9424,17.3002,19754771,19759807,2192819
3574,Amphiprion_clarkii,CLK,pending upload,PNG,147.2911798,-9.5388325,Generalist,95.3172,13.0208,19753609,19759807,2192819
GB030,Amphiprion_clarkii,CLK,SRR29150661,IDN,124.8408708,1.4900578,Generalist,97.5722,10.6979,19748283,19759807,2192819
GB035,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,95.3627,15.4994,19753565,19759807,2192819
GB036,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,95.9788,15.8207,19751178,19759807,2192819
GB037,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,95.2538,14.266,19751812,19759807,2192819
GB169,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,95.4248,14.7543,19751773,19759807,2192819
GB170,Amphiprion_clarkii,CLK,SRR29150660,IDN,124.8408708,1.4900578,Generalist,97.5604,10.2174,19746590,19759807,2192819
GB171,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,96.3782,19.5039,19753472,19759807,2192819
GB172,Amphiprion_clarkii,CLK,SRR29150649,IDN,124.8408708,1.4900578,Generalist,97.5497,9.28422,19741717,19759807,2192819
GB176,Amphiprion_clarkii,CLK,SRR29150638,IDN,124.8408708,1.4900578,Generalist,97.7387,10.9153,19750887,19759807,2192819
GB177,Amphiprion_clarkii,CLK,SRR29150627,IDN,124.8408708,1.4900578,Generalist,97.6327,11.4888,19750991,19759807,2192819
GB187,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,94.7958,12.9564,19749683,19759807,2192819
GB188,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,91.1582,14.9595,19752792,19759807,2192819
GB189,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,94.8661,22.5773,19753149,19759807,2192819
GB198,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,95.5417,15.447,19753228,19759807,2192819
GB200,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,94.3878,15.5447,19752364,19759807,2192819
GB204,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,95.9937,13.4928,19748618,19759807,2192819
GB205,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,96.5602,17.0052,19752563,19759807,2192819
GB207,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,96.187,19.7838,19752492,19759807,2192819
GB210,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,96.2288,18.1721,19751817,19759807,2192819
GB211,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,96.6466,22.0777,19753659,19759807,2192819
GB213,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,95.6726,16.6146,19751729,19759807,2192819
GB215,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,93.7283,17.7115,19753343,19759807,2192819
GB218,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,92.6392,12.8885,19750340,19759807,2192819
GB219,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,82.53,13.3318,19750021,19759807,2192819
GB221,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,92.4006,14.3032,19751342,19759807,2192819
GB222,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,93.7476,15.6445,19750107,19759807,2192819
GB223,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,95.2164,21.6574,19753806,19759807,2192819
GB224,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,93.6089,16.5533,19752593,19759807,2192819
GB225,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,93.6475,15.7523,19752528,19759807,2192819
GB228,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,96.0334,17.1004,19753499,19759807,2192819
GB229,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,91.7094,14.838,19751715,19759807,2192819
GB230,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,94.4802,20.036,19753252,19759807,2192819
GB237,Amphiprion_clarkii,CLK,pending upload,IDN,124.8408708,1.4900578,Generalist,96.3873,17.8021,19752516,19759807,2192819
HKN042,Amphiprion_clarkii,CLK,pending upload,PNG,144.2489081,-5.6816069,Generalist,95.2587,16.8913,19755517,19759807,2192819
HKN045,Amphiprion_clarkii,CLK,pending upload,PNG,144.2489081,-5.6816069,Generalist,95.3599,18.1249,19755953,19759807,2192819
HKN112,Amphiprion_clarkii,CLK,pending upload,PNG,144.2489081,-5.6816069,Generalist,95.3043,20.2948,19755244,19759807,2192819
HKN153,Amphiprion_clarkii,CLK,pending upload,PNG,144.2489081,-5.6816069,Generalist,92.994,14.4815,19753708,19759807,2192819
HKN186,Amphiprion_clarkii,CLK,pending upload,PNG,144.2489081,-5.6816069,Generalist,95.4281,17.1131,19755126,19759807,2192819
HKN195,Amphiprion_clarkii,CLK,pending upload,PNG,144.2489081,-5.6816069,Generalist,95.6502,19.5164,19755234,19759807,2192819
AC136,Amphiprion_clarkii,CLK,SRR29150628,PHI,122.7312101,12.7503486,Generalist,96.0981,16.8891,19753101,19759807,2192819
AC145,Amphiprion_clarkii,CLK,SRR29150626,PHI,122.7312101,12.7503486,Generalist,96.3543,16.7717,19752102,19759807,2192819
AC153,Amphiprion_clarkii,CLK,SRR29150625,PHI,122.7312101,12.7503486,Generalist,96.7981,16.1335,19753717,19759807,2192819
AC202,Amphiprion_clarkii,CLK,SRR29150624,PHI,122.7312101,12.7503486,Generalist,95.6922,16.1116,19752431,19759807,2192819
AC211,Amphiprion_clarkii,CLK,SRR29150623,PHI,122.7312101,12.7503486,Generalist,96.102,16.2854,19752701,19759807,2192819
AC231,Amphiprion_clarkii,CLK,SRR29150622,PHI,122.7312101,12.7503486,Generalist,96.9963,15.8677,19751941,19759807,2192819
AC266,Amphiprion_clarkii,CLK,SRR29150621,PHI,122.7312101,12.7503486,Generalist,97.0445,15.3741,19752543,19759807,2192819
