"","id","guild","sci_name","species","pop","bootstrap","time_index","left_time_boundary","time","right_time_boundary","lambda","Ne"
"110","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",9,22479.125,27942.5625,33406,367.488,3.40147161267851
"111","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",10,33406,41442.875,49479.75,516.126,2.42188922859922
"112","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",11,49479.75,61302.1875,73124.625,825.205,1.51477511648621
"113","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",12,73124.625,90515.5625,107906.5,1316.4,0.949559404436341
"114","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",13,107906.5,133488.875,159071.25,1983.18,0.630300829980133
"115","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",14,159071.25,196703.75,234336.25,2227.49,0.561169747114465
"116","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",15,234336.25,289694.375,345052.5,1889.35,0.661603196866647
"117","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",16,345052.5,426485,507917.5,1375.45,0.908793485768294
"118","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",17,507917.5,627706.875,747496.25,940.758,1.3287157802538
"119","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",18,747496.25,923708.75,1099921.25,675.313,1.85099353929215
"120","CLK_IDN.14","Generalist","Amphiprion clarkii","CLK","IDN","14",19,1099921.25,1099921.25,Inf,675.313,1.85099353929215
"123","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",2,891.96625,1282.520625,1673.075,1447.68,0.863450486295314
"124","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",3,1673.075,2247.58125,2822.0875,158.255,7.89864459258791
"125","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",4,2822.0875,3667.20625,4512.325,481.153,2.59792623136507
"126","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",5,4512.325,5755.5125,6998.7,365.266,3.42216357394337
"127","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",6,6998.7,8827.45,10656.2,217.885,5.7369713380912
"128","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",7,10656.2,13346.35,16036.5,288.597,4.33129935515615
"129","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",8,16036.5,19993.6875,23950.875,388.689,3.215938706781
"130","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",9,23950.875,29772.0625,35593.25,494.913,2.52569643553513
"131","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",10,35593.25,44156.3125,52719.375,627.848,1.99092774047222
"132","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",11,52719.375,65315.875,77912.375,975.911,1.28085450415048
"133","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",12,77912.375,96442,114971.625,1385.75,0.90203860725239
"134","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",13,114971.625,142228.9375,169486.25,1572.38,0.794973225301772
"135","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",14,169486.25,209582.5,249678.75,1599.65,0.781420935829713
"136","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",15,249678.75,308661.25,367643.75,1542.01,0.810630281256282
"137","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",16,367643.75,454408.75,541173.75,1481.43,0.843779321331416
"138","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",17,541173.75,668806.25,796438.75,1547.95,0.807519622726832
"139","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",18,796438.75,984188.125,1171937.5,238512,0.00524082645736902
"140","CLK_IDN.15","Generalist","Amphiprion clarkii","CLK","IDN","15",19,1171937.5,1171937.5,Inf,238512,0.00524082645736902
"143","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",2,837.50375,1204.208125,1570.9125,953.173,1.31140936640043
"144","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",3,1570.9125,2110.34375,2649.775,1650.08,0.757539028410744
"145","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",4,2649.775,3443.29375,4236.8125,620.311,2.0151182229559
"146","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",5,4236.8125,5404.0875,6571.3625,159.064,7.85847206156013
"147","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",6,6571.3625,8288.45,10005.5375,792.758,1.57677374432046
"148","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",7,10005.5375,12531.39375,15057.25,745.994,1.67561669396805
"149","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",8,15057.25,18772.875,22488.5,330.601,3.78099279796492
"150","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",9,22488.5,27954.25,33420,357.41,3.49738395680031
"151","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",10,33420,41460.1875,49500.375,569.693,2.19416422529327
"152","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",11,49500.375,61327.75,73155.125,930.462,1.34341864579102
"153","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",12,73155.125,90553.375,107951.625,1409.27,0.886984041383127
"154","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",13,107951.625,133544.5625,159137.5,1783.05,0.701045960573175
"155","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",14,159137.5,196785.625,234433.75,1812.99,0.689468778095853
"156","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",15,234433.75,289815,345196.25,1611.52,0.775665210484512
"157","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",16,345196.25,426663.125,508130,1263.87,0.989025770055465
"158","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",17,508130,627969.375,747808.75,980.282,1.27514327509839
"159","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",18,747808.75,924095,1100381.25,1032.58,1.21055995661353
"160","CLK_IDN.16","Generalist","Amphiprion clarkii","CLK","IDN","16",19,1100381.25,1100381.25,Inf,1032.58,1.21055995661353
"163","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",2,913.135,1312.955,1712.775,3039,0.411319512997697
"165","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",4,2889.0625,3754.2375,4619.4125,376.807,3.31734813843692
"166","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",5,4619.4125,5892.10625,7164.8,352.909,3.54198957804987
"167","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",6,7164.8,9036.95,10909.1,267.476,4.67331648446963
"168","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",7,10909.1,13663.05,16417,451.476,2.76869645341059
"169","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",8,16417,20468.1875,24519.375,395.635,3.15947780150897
"170","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",9,24519.375,30478.6875,36438,378.861,3.29936309094892
"171","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",10,36438,45204.3125,53970.625,516.442,2.420407325508
"172","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",11,53970.625,66866,79761.375,819.684,1.52497791831974
"173","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",12,79761.375,98730.8125,117700.25,1264.56,0.988486113747074
"174","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",13,117700.25,145604.5,173508.75,1667.01,0.749845531820445
"175","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",14,173508.75,214556.875,255605,1771.42,0.705648575718915
"176","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",15,255605,315987.5,376370,1643.92,0.760377633948124
"177","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",16,376370,465193.75,554017.5,1274.1,0.981084687230202
"178","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",17,554017.5,684678.75,815340,831.869,1.50264043978078
"179","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",18,815340,1007545.625,1199751.25,588.185,2.12518170303561
"180","CLK_IDN.17","Generalist","Amphiprion clarkii","CLK","IDN","17",19,1199751.25,1199751.25,Inf,588.185,2.12518170303561
"183","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",2,839.14625,1206.573125,1574,1649.96,0.757594123493903
"184","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",3,1574,2114.4875,2654.975,1644.66,0.760035508858974
"185","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",4,2654.975,3450.05,4245.125,497.57,2.51220933737967
"187","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",6,6584.25,8304.7125,10025.175,670.801,1.86344385294596
"188","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",7,10025.175,12556.025,15086.875,586.532,2.13117101880204
"189","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",8,15086.875,18809.75,22532.625,405.565,3.08212000542453
"190","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",9,22532.625,28009.125,33485.625,398.496,3.13679434674376
"191","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",10,33485.625,41541.5625,49597.5,542.677,2.30339594270625
"192","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",11,49597.5,61448.0625,73298.625,854.861,1.46222602271012
"193","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",12,73298.625,90731,108163.375,1304.08,0.958530151524446
"194","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",13,108163.375,133806.6875,159450,1816.33,0.688200932649904
"195","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",14,159450,197171.875,234893.75,2041.37,0.612333873820033
"196","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",15,234893.75,290383.75,345873.75,1877.67,0.665718683261702
"197","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",16,345873.75,427500,509126.25,1432.93,0.872338495250989
"198","CLK_IDN.18","Generalist","Amphiprion clarkii","CLK","IDN","18",17,509126.25,629201.25,749276.25,965.069,1.29524417425075
