"","id","guild","sci_name","species","pop","bootstrap","time_index","left_time_boundary","time","right_time_boundary","lambda","Ne"
"95","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",14,94841.625,117278.9375,139716.25,1590.4,0.785965794768612
"96","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",15,139716.25,172721.875,205727.5,1058.01,1.1814633132012
"97","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",16,205727.5,254279.375,302831.25,702.75,1.77872643187478
"98","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",17,302831.25,374251.875,445672.5,573.257,2.18052287194051
"99","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",18,445672.5,550733.75,655795,325.589,3.83919604163531
"100","AKA_IDN.b4","RM specialist","Amphiprion akallopisos","AKA","IDN","b4",19,655795,655795,Inf,325.589,3.83919604163531
"101","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",0,0,101.59375,203.1875,1571.86,0.795236216965888
"102","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",1,203.1875,352.634375,502.08125,1571.86,0.795236216965888
"103","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",2,502.08125,721.920625,941.76,5046.68,0.247687588672157
"104","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",3,941.76,1265.14875,1588.5375,2074.86,0.602450285802416
"105","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",4,1588.5375,2064.25,2539.9625,1807.06,0.691731320487422
"106","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",5,2539.9625,3239.7375,3939.5125,1691.2,0.739120151371807
"107","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",6,3939.5125,4968.90625,5998.3,1523.21,0.820635368727884
"108","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",7,5998.3,7512.55625,9026.8125,1469.78,0.850467416892324
"109","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",8,9026.8125,11254.34375,13481.875,1621.79,0.770753303448659
"110","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",9,13481.875,16758.5625,20035.25,1947.44,0.641868298894959
"111","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",10,20035.25,24855.3125,29675.375,2321.99,0.538331345096232
"112","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",11,29675.375,36765.875,43856.375,2593.83,0.481912847025441
"113","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",12,43856.375,54286.5625,64716.75,2556.41,0.488966949745933
"114","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",13,64716.75,80059.8125,95402.875,2105.75,0.593612727056868
"115","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",14,95402.875,117972.6875,140542.5,1521.58,0.821514478371167
"116","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",15,140542.5,173743.75,206945,1044.25,1.19703136222169
"117","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",16,206945,255783.75,304622.5,782.836,1.59675845260054
"118","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",17,304622.5,376466.25,448310,853.918,1.4638407903335
"119","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",18,448310,553993.125,659676.25,171.858,7.27344668272644
"120","AKA_IDN.b5","RM specialist","Amphiprion akallopisos","AKA","IDN","b5",19,659676.25,659676.25,Inf,171.858,7.27344668272644
"121","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",0,0,101.59375,203.1875,1572.24,0.795044013636595
"122","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",1,203.1875,352.634375,502.08125,1572.24,0.795044013636595
"123","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",2,502.08125,721.920625,941.76,5047.27,0.247658635262231
"124","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",3,941.76,1265.14875,1588.5375,2075.13,0.602371899591833
"125","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",4,1588.5375,2064.25,2539.9625,1807.18,0.69168538828451
"126","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",5,2539.9625,3239.7375,3939.5125,1691.06,0.739181341880241
"127","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",6,3939.5125,4968.90625,5998.3,1523.01,0.820743133662944
"128","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",7,5998.3,7512.55625,9026.8125,1469.56,0.850594735839299
"129","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",8,9026.8125,11254.34375,13481.875,1621.7,0.770796078189554
"130","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",9,13481.875,16758.5625,20035.25,1947.49,0.641851819521538
"131","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",10,20035.25,24855.3125,29675.375,2322.22,0.538278027060313
"132","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",11,29675.375,36765.875,43856.375,2594.23,0.481838541686743
"133","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",12,43856.375,54286.5625,64716.75,2556.8,0.488892365456821
"134","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",13,64716.75,80059.8125,95402.875,2105.77,0.593607089093301
"135","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",14,95402.875,117972.6875,140542.5,1520.92,0.821870972832233
"136","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",15,140542.5,173743.75,206945,1042.7,1.19881077970653
"137","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",16,206945,255783.75,304622.5,784.402,1.59357064362406
"138","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",17,304622.5,376466.25,448310,854.217,1.46332840484327
"139","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",18,448310,553993.125,659676.25,171.754,7.27785087974661
"140","AKA_IDN.b6","RM specialist","Amphiprion akallopisos","AKA","IDN","b6",19,659676.25,659676.25,Inf,171.754,7.27785087974661
"141","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",0,0,99.665,199.33,1090.49,1.14627369347724
"142","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",1,199.33,345.93875,492.5475,1090.49,1.14627369347724
"143","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",2,492.5475,708.2125,923.8775,6126.79,0.204022008262075
"144","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",3,923.8775,1241.12625,1558.375,2042.29,0.612058032894447
"145","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",4,1558.375,2025.05,2491.725,1778.76,0.702736737952281
"146","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",5,2491.725,3178.21875,3864.7125,1631.96,0.765950145836908
"147","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",6,3864.7125,4874.55625,5884.4,1533.05,0.815368057140993
"148","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",7,5884.4,7369.90625,8855.4125,1455.22,0.858976649578758
"149","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",8,8855.4125,11040.64375,13225.875,1602.94,0.779817086104283
"150","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",9,13225.875,16440.3125,19654.75,1943.68,0.643109976950939
"151","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",10,19654.75,24383.3125,29111.875,2330.2,0.536434640803365
"152","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",11,29111.875,36067.75,43023.625,2600.53,0.480671247784106
"153","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",12,43023.625,53255.75,63487.875,2572.39,0.485929427497386
"154","AKA_IDN.b7","RM specialist","Amphiprion akallopisos","AKA","IDN","b7",13,63487.875,78539.625,93591.375,2146.69,0.582291807387187
