Sample_ID,Anemonefish.Species,Species_Abbreviation,Country,Country_Abbreviation,Location,Pop_ID,Coord.X,Coord.Y,Host category,Accession
CH112,Amphiprion_chrysopterus,CRP,Solomon Islands,SOI,Marovo,SOI_Marovo,157.9961689,-8.51329565,Generalist,SAMN45957687
CH127,Amphiprion_chrysopterus,CRP,Solomon Islands,SOI,Marovo,SOI_Marovo,157.9961689,-8.51329565,Generalist,SAMN45957688
CH131,Amphiprion_chrysopterus,CRP,Solomon Islands,SOI,Marovo,SOI_Marovo,157.9961689,-8.51329565,Generalist,SAMN45957689
CH132,Amphiprion_chrysopterus,CRP,Solomon Islands,SOI,Marovo,SOI_Marovo,157.9961689,-8.51329565,Generalist,SAMN45957690
CH141,Amphiprion_chrysopterus,CRP,Solomon Islands,SOI,Marovo,SOI_Marovo,157.9961689,-8.51329565,Generalist,SAMN45957691
CH155,Amphiprion_chrysopterus,CRP,Solomon Islands,SOI,Marovo,SOI_Marovo,157.9961689,-8.51329565,Generalist,SAMN45957692
CH96,Amphiprion_chrysopterus,CRP,Solomon Islands,SOI,Marovo,SOI_Marovo,157.9961689,-8.51329565,Generalist,SAMN45957693
GA040,Amphiprion_chrysopterus,CRP,French Polynesia,POL,Moorea,POL_Moorea,-149.8386006,-17.533306,Generalist,SAMN45957694
CH167,Amphiprion_chrysopterus,CRP,Palau,PAU,Palau,PAU_Palau,132.9102573,5.3783537,Generalist,SAMN45957695
GA031,Amphiprion_chrysopterus,CRP,Solomon Islands,SOI,Solomon,SOI_Solomon,159.1070694,-8.7053941,Generalist,SAMN45957696
MV087,Amphiprion_clarkii,CLK,Maldives,MDV,AlifAlif,MDV_AlifAlif,72.87168536,4.4389236,Generalist,SAMN41501606
MV088,Amphiprion_clarkii,CLK,Maldives,MDV,AlifAlif,MDV_AlifAlif,72.87168536,4.4389236,Generalist,SAMN41501607
MV186,Amphiprion_clarkii,CLK,Maldives,MDV,AlifAlif,MDV_AlifAlif,72.87168536,4.4389236,Generalist,SAMN41501608
MV187,Amphiprion_clarkii,CLK,Maldives,MDV,AlifAlif,MDV_AlifAlif,72.87168536,4.4389236,Generalist,SAMN41501609
MV212,Amphiprion_clarkii,CLK,Maldives,MDV,AlifAlif,MDV_AlifAlif,72.87168536,4.4389236,Generalist,SAMN41501610
MV031,Amphiprion_clarkii,CLK,Maldives,MDV,Kaafu,MDV_Kaafu,73.57600321,4.35429895,Generalist,SAMN41501611
MV032,Amphiprion_clarkii,CLK,Maldives,MDV,Kaafu,MDV_Kaafu,73.57600321,4.35429895,Generalist,SAMN41501612
MV033,Amphiprion_clarkii,CLK,Maldives,MDV,Kaafu,MDV_Kaafu,73.57600321,4.35429895,Generalist,SAMN41501613
MV035,Amphiprion_clarkii,CLK,Maldives,MDV,Kaafu,MDV_Kaafu,73.57600321,4.35429895,Generalist,SAMN41501614
MV601,Amphiprion_clarkii,CLK,Maldives,MDV,Kaafu,MDV_Kaafu,73.57600321,4.35429895,Generalist,SAMN41501615
CLK_150,Amphiprion_clarkii,CLK,Thailand,THA,Lanta,THA_Lanta,99.0943842,7.5310204,Generalist,SAMN45957697
CLK_158,Amphiprion_clarkii,CLK,Thailand,THA,Lanta,THA_Lanta,99.0943842,7.5310204,Generalist,SAMN45957698
CLK_161,Amphiprion_clarkii,CLK,Thailand,THA,Lanta,THA_Lanta,99.0943842,7.5310204,Generalist,SAMN45957699
CLK_166,Amphiprion_clarkii,CLK,Thailand,THA,Lanta,THA_Lanta,99.0943842,7.5310204,Generalist,SAMN45957700
CLK_169,Amphiprion_clarkii,CLK,Thailand,THA,Lanta,THA_Lanta,99.0943842,7.5310204,Generalist,SAMN45957701
3378,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957702
3379,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957703
3380,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957704
3381,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957705
3383,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957706
3384,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957707
3386,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957708
3387,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957709
3475,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957710
3502,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957711
3503,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957712
3504,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957713
3571,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957714
3572,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957715
3574,Amphiprion_clarkii,CLK,Papua New Guinea,PNG,Loloata,PNG_Loloata,147.2911798,-9.5388325,Generalist,SAMN45957716
GB030,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN41501596
GB035,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957717
GB036,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957718
GB037,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957719
GB169,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957720
GB170,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN41501597
GB171,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN45957721
GB172,Amphiprion_clarkii,CLK,Indonesia,IDN,Manado,IDN_Manado,124.8408708,1.4900578,Generalist,SAMN41501598
